player_id,player_name,position,team,games_played,mu_pergame_raw,mu_pergame,sigma_own,age,draft_number,basis,sigma_pergame,availability_rate,age_multiplier,team_changed,season_mean,season_median,season_p10,season_p90,expected_games,replacement_rank,vor_mean,vor_p90,draft_score,overall_rank,tier,position_rank,adp,adp_sd,adp_round,value_gap
00-0036410,Tee Higgins,WR,CIN,15,13.414764786272528,11.80299420304042,8.225870919297991,27.619438740588638,33.0,model+realized,8.156315519284869,0.8137478991596638,1.0,False,145.6846177271142,149.30458081066644,94.99393687955225,195.1696924221559,12.21275,45,21.93818271843837,31.26005997412824,27.065215209067798,65,21,23,33.3,5.9,3,-31.700000000000003
00-0040663,Harold Fannin Jr.,TE,CLE,16,10.886826070496813,9.672645172210512,5.72910696938595,22.116358658453116,67.0,model+realized,6.2308403145190026,0.9207843137254903,1.0,False,136.2587252293273,141.04622791140739,99.25235968899676,174.3100906910874,13.931,18,25.832429514418862,28.048209030314553,27.05110824816149,66,21,6,70.4,9.2,6,4.400000000000006
00-0034827,DJ Moore,WR,BUF,17,11.128886076733398,9.647598730894424,8.197783595725918,29.38261464750171,24.0,model+realized+team_change_prior+age_prior,8.943961891895732,0.9771428571428571,0.97,True,146.15559433545656,150.37215270570158,94.83102360287155,194.54183593921002,14.72925,45,22.40915932678074,30.632203491182366,26.931833617201633,67,21,24,69.0,11.0,6,2.0
00-0037239,Chris Olave,WR,NO,16,14.51964030571287,12.679802334598492,7.914290871581609,26.17932922655715,11.0,model+realized,8.166901989731462,0.7494117647058823,1.0,False,144.2085519276379,148.51762856469503,89.84976899041916,195.46420469330758,11.306,45,20.46211691896208,31.554572245279928,26.562967348436896,68,21,25,23.6,3.5,2,-44.4
00-0033090,Hunter Henry,TE,NE,17,10.170050568619015,8.919775705973448,7.275492706177848,31.734428473648187,35.0,model+realized+age_prior,7.117459005782628,0.9529124820659971,0.97,False,131.20186676255318,134.33314864315005,91.49182096676435,171.68653447649783,14.48175,18,20.775571047644746,25.424652815724983,23.332566020088876,69,22,7,149.3,15.0,13,80.30000000000001
00-0035640,DK Metcalf,WR,PIT,15,12.09424421130091,10.859765220917836,5.99930948407517,28.71457905544148,64.0,model+realized,6.462408992498837,0.8818575851393188,1.0,False,145.41744501011033,150.2983433716,102.40390670788899,187.79867751832123,13.337,45,21.67101000143451,23.889045070293577,22.890929289306996,70,22,26,60.5,8.4,5,-9.5
00-0038041,Jake Ferguson,TE,DAL,17,10.397153513046986,9.363503755760043,7.089423564055701,27.619438740588638,129.0,model+realized,7.041906924845488,0.9052488687782806,1.0,False,130.06963482094858,133.68866894228253,87.31609747215572,171.65341245355472,13.67225,18,19.643339106040145,25.39153079278188,22.8048445337481,71,22,8,121.7,19.6,11,50.7
00-0035261,Tony Pollard,RB,TEN,17,10.730989171743332,9.502525625804234,5.619471139026603,29.338809034907598,128.0,model+realized+age_prior,5.79421527496714,0.9529124820659971,0.93,False,134.29486826181133,141.4282689722403,85.2438970010725,173.86176919702496,14.04025,45,22.221751239344698,22.980391503684842,22.639003384731776,72,22,28,66.6,9.3,6,-5.400000000000006
00-0037256,Rachaad White,RB,WAS,17,10.377532356094525,9.561245003913397,5.498054468734961,27.63586584531143,91.0,model+realized+team_change_prior+age_prior,6.503788178413597,0.9289411764705882,0.97,True,132.02531406583827,138.5411778517321,79.42470930829349,174.52612691661938,13.659,45,19.95219704337164,23.644749223279263,21.983100742320833,73,23,29,105.4,12.4,9,32.400000000000006
00-0038563,Tre Tucker,WR,LV,17,9.98849622968121,9.410688798884411,8.93790260302586,25.4839151266256,100.0,model+realized,8.081844920291251,0.9771428571428571,1.0,False,141.57090899971735,146.0627421013508,91.49021406840055,189.07634615353624,14.679,45,17.82447399104153,25.166713705508585,21.86270583399841,74,23,27,135.7,9.2,12,61.69999999999999
00-0036875,Rhamondre Stevenson,RB,NE,14,11.292951357070343,9.79676886286456,10.052969601177445,28.520191649555098,120.0,model+realized+age_prior,8.71668191974698,0.8587917329093799,0.93,False,127.07125931269368,130.58605188911727,71.2245950552337,178.2223241194409,12.64225,45,14.998142290227051,27.3409464261008,21.78668456495761,75,23,30,70.6,6.2,6,-4.400000000000006
00-0039384,Tyrone Tracy Jr.,RB,NYG,15,10.01745363101534,9.369446486363149,7.660119357518432,26.77344284736482,166.0,model+realized+age_prior,7.00970311045306,0.9289411764705882,0.97,False,131.2495778142946,137.09644047510454,82.8036187528674,174.08421470000906,13.80775,45,19.176460791827978,23.202837006668943,21.39096770999051,76,23,31,158.4,16.7,14,82.4
